artist_id,artist_name,artist_followers,artist_genres,artist_popularity
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,2641238,"['pop rap', 'seattle hip hop']",72
4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,53550,['pop dance'],72
35l9BRT7MXmM8bv2WDQiyB,beabadoobee,2312571,"['bedroom pop', 'bubblegrunge', 'indie pop', 'pov: indie']",74
7GKbLXiXTUl3L0WzZVj0vT,Phil Larson,4959,[],36
47z7ZrgFoBvVpCnElCE3Zh,Yellow Claw,1047502,"['edm', 'electro house', 'pop dance']",61
5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,3628689,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",69
2GaynEwi8XdZuZ372KKsgc,Creek Boyz,12560,['baltimore hip hop'],29
6C1ohJrd5VydigQtaGy5Wa,Joyner Lucas,2061285,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",69
0JnNzCUsHuDcUcBatOzuGP,Sonya Belousova,18082,['soundtrack'],51
2GGcFMw7PABKRpAS0lpYX6,Giona Ostinelli,3107,[],51
3yhgVqRLh6DyzacZyQPNWc,Joey Batey,20725,[],51
7HkdQ0gt53LP4zmHsL0nap,Ella Mai,5119834,"['r&b', 'rap', 'uk contemporary r&b']",68
0BEYTctVmnYa5yStp4Jpab,Destructo,59823,"['bass house', 'electro house']",42
29DWvZyWy1yvU8jpIePBYi,Loge21,17714,['bass house'],26
5K6YsAKuRtcczPgxAdzc3B,Roy Jones Jr.,65809,[],55
4e0Z9S1BolFuwPDnA8wOjF,Mr Magic,5036,[],54
3OMd4I5GX8Hz51SLS0C2Fm,Trouble,2478,[],53
6SSmy635N3a4oWmPk85xpK,Brennan Savage,381141,"['cloud rap', 'dark trap', 'emo rap']",57
23ostNBoB9z6GMXLtHdg7y,Prismo,173497,['bass trap'],49
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,5116951,"['ohio hip hop', 'pop rap']",76
26VFTg2z8YR0cCuwLzESi2,Halsey,20667873,"['electropop', 'etherpop', 'indie poptimism', 'pop']",80
5fSVkkuijRIpxuvSqysYiP,Snøw,145647,"['sad lo-fi', 'sad rap']",62
61zv3hX7l838ZyhaDyAx8S,Gary Glitter,42080,[],45
