album_id,album_name,album_total_tracks,album_type,album_release_date,album_label,album_popularity
6ZZvx0aefZV3LKa053fn71,Glimpse of Us,1,single,2022-06-10,88rising Music/Warner Records,74
3XRIludkVBu3gebPogPMvW,Underworld,1,single,2019-07-15,UAV Records.,57
7vNqlfthayItIbI0Ssmfoa,LOOK AT ME: THE ALBUM,25,album,2022-06-10,Columbia,67
0w7mvWZKNnIvIAnbzXoJbQ,Fragments,19,album,2018-09-28,Unleashed Records,41
3v3XnEkDxBDcRQhXy02e2Q,life waster,1,single,2022-06-03,CORPSE,51
7HgP8UpL3pItKEG3T3RoUy,Duel of The Fates - Epic Version (Remastered),1,single,2022-06-02,Samuel Kim Music,0
1HeGenNhHCIMcnFsSlvprd,ULTRA SOLO,1,single,2022-02-14,Sony Music Entertainment Chile S.A,66
5BWl0bB1q0TqyFmkBEupZy,Hounds Of Love,12,album,1985,Parlophone UK,24
60up5WdoThgFRGkyZVIlIq,CASA,1,single,2021-04-16,Epic,49
70whKym9nRCZ8BKgLbUc8u,RASETSU (Remix),1,single,2021-02-09,Musicality,19
0LvjRRFJxjZpzlJ8QOwwhm,2K FREESTYLE,1,single,2020-02-16,Lazy3x,56
4q9w9mgW7AvTuc0A3Ta4vk,Take Me Away,1,single,2017-01-11,723535 Records DK,53
6RNDvDchWZVkOLSowvm22d,Unravel,1,single,2022-05-13,Yung Anime,0
5nRwiGsiEtrFN847UULpzL,Bloodborne Original Soundtrack,25,album,2015-04-22,TEAM Entertainment,55
7jfOGP1vsNecfYTcwN3AyH,BLOCCO 181 – ORIGINAL SOUNDTRACK,11,album,2022-05-27,Columbia,56
6bOKRuocPC83OuQDrRIklj,BABY GODDAMN,1,single,2021-03-26,Universal Music Italia srL.,54
0q62V6NN0EWwRTEtyFCsGQ,Nonostante Tutto,16,album,2016-01-22,Universal Music Italia srL.,58
5GlPAy2PRJW06GVFhKwGTl,Evolve,11,album,2017-06-23,Universal Music Group,16
58ufpQsJ1DS5kq4hhzQDiI,Unorthodox Jukebox,10,album,2012-12-07,Atlantic Records,85
2o2GBOfy2GG9oKYZgfZkur,Civilisation,15,album,2021-11-19,Wagram Music / 3ème Bureau,67
131aQBAJ9vKlYgFlIp4t3h,Fed Up,1,single,2022-04-02,Burak Media,0
2pbQZkbPls1BTbG2DPUXKA,Hoist The Colours,1,single,2022-05-07,Samuel Kim Music,0
6twKQ0EsUJHVlAr6XBylrj,Death of a Bachelor,11,album,2016-01-15,Decaydance/Fueled By Ramen,77
