track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature
3LLsO2IuQGONc3YIb4wD0W,2022-06-06T04:21:57Z,RASETSU - Remix,70whKym9nRCZ8BKgLbUc8u,3jbwoqhl1GhkvC5rNBvHH3,[],133957,False,29,4,172.008,0.526,0.499,0.206,-13.073,0.0548,0.922,0.0859,0,0.045,4
612dHPI0OoOsvWkweHXZXF,2022-06-06T04:10:56Z,2K FREESTYLE,0LvjRRFJxjZpzlJ8QOwwhm,02wrovsROEQpMXNTxk8uHI,['62F9BiUmjqeXbBztCwiX1U'],213000,True,67,8,108.953,0.682,0.591,0.277,-2.974,0.00193,0.0,0.103,1,0.308,5
4YBR9F76hT40fVDfzrcOth,2022-05-30T04:28:25Z,Take Me Away,4q9w9mgW7AvTuc0A3Ta4vk,3Vn0EIkJERzGTR0Bnw4p6F,['5gYimn2wODaiKOTFJlzVnn'],130914,True,64,10,110.444,0.686,0.645,0.0408,-7.358,0.166,0.0,0.0931,0,0.0945,4
17Ch96fdIWf1mdl9C6ZhdE,2022-05-30T04:08:18Z,Unravel,6RNDvDchWZVkOLSowvm22d,04l0fJwGDWliBLlVPVwiPX,[],236208,False,0,7,135.131,0.676,0.499,0.338,-10.032,0.0502,0.0,0.13,0,0.0761,4
65CefKbmaG0ZkumWSFKbxC,2022-05-29T12:39:21Z,Cleric Beast,5nRwiGsiEtrFN847UULpzL,1RjRHE0popjV7rhcHdp376,[],184720,False,50,2,140.066,0.54,0.373,0.0682,-12.506,0.393,0.868,0.421,1,0.047,3
6jMDzJpF4ULB0gKvJV0Hji,2022-05-28T09:05:10Z,EZ,7jfOGP1vsNecfYTcwN3AyH,3hBQ4zniNdQf1cqqo6hzuW,"['6dKdNHGdsBvEeNDxXV8AMP', '6qHbYx76y5bQSbBMUYhhuP']",140595,True,47,8,131.007,0.509,0.872,0.606,-5.678,0.0221,1.37e-05,0.093,0,0.306,4
3yWHQ4n4ARLDfYTuT2NhnN,2022-05-23T09:04:12Z,BABY GODDAMN,6bOKRuocPC83OuQDrRIklj,35V1WomiedCJeGfupcPm7s,[],149605,False,65,10,114.033,0.764,0.819,0.885,-3.311,0.0317,2.73e-05,0.0579,0,0.1,4
3Jfi1WRHzREEGBDsaCrIXD,2022-05-19T19:42:18Z,Bene,0q62V6NN0EWwRTEtyFCsGQ,4upwdFMlZBmQ68jP9jPzjK,[],237250,False,58,6,136.089,0.659,0.744,0.746,-7.191,0.0623,0.0,0.114,1,0.142,4
4IWAyPf1KMq7JCyGeCjTeH,2022-05-19T19:37:50Z,Whatever It Takes,5GlPAy2PRJW06GVFhKwGTl,53XhwfbYqKCa1cC15pYq2q,[],201240,False,0,1,134.955,0.649,0.675,0.537,-4.953,0.0429,0.0,0.128,1,0.0315,4
3w3y8KPTfNeOKPiqUTakBh,2022-05-19T19:31:10Z,Locked out of Heaven,58ufpQsJ1DS5kq4hhzQDiI,0du5cEVh5yTK9QJze8zA0C,[],233478,False,89,5,143.994,0.698,0.726,0.867,-4.165,0.049,0.0,0.309,1,0.0431,4
12C6Cy0B1fH7k5Ex0DreRS,2022-05-18T06:26:28Z,Civilisation,2o2GBOfy2GG9oKYZgfZkur,4FpJcNgOvIpSBeJgRg3OfN,[],245034,False,54,7,139.974,0.558,0.632,0.207,-10.049,0.385,0.0,0.0786,0,0.338,4
38JtPlYaslnOEfz1iWwcO4,2022-05-16T04:17:10Z,Fed Up,131aQBAJ9vKlYgFlIp4t3h,61gWpKs7mYy1Nxxa5hJVli,[],176785,False,0,1,100.528,0.661,0.8,0.0659,-8.376,0.645,0.868,0.115,1,0.144,4
1YcPuPuHseYYiLsNVOK2Tz,2022-05-13T13:06:59Z,Hoist The Colours,2pbQZkbPls1BTbG2DPUXKA,2bdcBjvuI9worc472GbeU0,['2hwZ6O8nd7zKSUqRhYPo5U'],288830,False,0,4,105.077,0.602,0.246,0.294,-9.72,0.033,0.0966,0.136,0,0.0547,3
2DgdHcjWmO3qd50RzuBLgZ,2022-05-04T15:58:21Z,House of Memories,6twKQ0EsUJHVlAr6XBylrj,20JZFwl6HVl6yg8a4H3ZqK,[],208706,False,83,11,109.952,0.817,0.506,0.506,-5.051,0.00272,0.0,0.0486,0,0.0335,4
