,track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature,brano_ascoltato_freq,artista_ascoltato_freq,artista_singolare_importante,coll_artista_asc_freq,sim_struttura_musicale_brano_asc_freq,sim_emozioni_brano_asc_freq,macro_categoria_artista_asc_freq,genere_asc_freq,ha_composto_canzone,stesso_genere_artista_asc_freq,stesso_album_brano_asc_freq,stesso_artista_brano_asc_freq,brano_freq_importante,artista_freq_importante,coll_artista_freq_imp,macro_categoria_artista_freq_imp
339,3ZOEytgrvLwQaqXreDs2Jx,2021-11-30T16:26:03Z,Can't Stop,6deiaArbeoqp1xPEGdEKp1,0L8ExT028jH3ddEcZwqJJ5,[],269000,False,84,9,91.455,0.938,0.618,0.875,-3.442,0.0179,0.0,0.167,1,0.0456,4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
355,2fWSwWmKRuyioqIzOzuQGo,2021-11-09T22:06:22Z,Beast - Southpaw Remix,21CZUn61aoVz08xU4wwfru,70eNABm9r2VXOGYW4r209H,"['1YfEcTuGvBQ8xSD1f53UnK', '6fFfnKGVI6X3lkCr8Qw1g1', '6UBA15slIuadJ8h2lPRPos']",279373,True,66,9,143.991,0.947,0.596,0.555,-4.514,0.0252,0.0,0.888,1,0.218,4,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
368,3USxtqRwSYz57Ewm6wWRMp,2021-10-26T18:34:34Z,Heat Waves,5bfpRtBW7RNRdsm3tRyl3R,4yvcSjfu4PC0CYQyLy4wSq,[],238805,False,92,11,80.87,0.525,0.761,0.531,-6.9,0.44,6.7e-06,0.0921,1,0.0944,4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
408,5HQVUIKwCEXpe7JIHyY734,2021-07-28T14:25:47Z,"Young, Wild & Free (feat. Bruno Mars)",11Bkx3E99vf0IlYPND61LJ,7hJcb9fa4alzcOq3EaNPoG,"['137W8MRPWKqSmrBGDBFSop', '0du5cEVh5yTK9QJze8zA0C']",207333,True,79,0,95.078,0.655,0.715,0.531,-6.425,0.0525,0.0,0.115,1,0.137,4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
412,4BxzNZpcm1j3JczZzGNe2k,2021-07-25T09:24:22Z,Bandoleros,4SJhZBuuLYlwUJGxWf8Pj0,33ScadVnbm2X8kkUqOkC6Z,['3SUT1jjM5hzZj9TLfLZGIP'],305280,False,75,5,90.622,0.896,0.662,0.79,-5.311,0.318,0.0,0.186,0,0.251,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
453,69yfbpvmkIaB10msnKT7Q5,2020-12-13T12:02:54Z,Radioactive,2M0IZTKgkN3ZpYluF4lKAM,53XhwfbYqKCa1cC15pYq2q,['2YZyLoL8N0Wb9xBt1NhZWg'],276040,True,69,9,139.858,0.894,0.483,0.278,-3.9,0.0407,0.0,0.282,1,0.223,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
474,26D1PRJjD9Jj1JGRk88KVc,2020-11-06T21:12:13Z,Lithium,2uEf3r9i2bnxwJQsxQ0xQ7,6olE6TJLqED3rqDCT0FyPh,[],257053,False,1,7,123.207,0.656,0.678,0.485,-6.41,0.00174,0.0,0.0631,1,0.0381,4,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
487,40sRwFjfrRnaTdYPJIg4CP,2020-10-26T12:08:33Z,Hometown,3cQO7jp5S9qLBoIVtbkSM1,3YQKmKGau1PzlVlkL1iodx,[],234946,False,65,2,120.03,0.753,0.683,0.389,-5.564,0.0577,0.00208,0.357,0,0.0317,4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
496,64yrDBpcdwEdNY9loyEGbX,2020-10-20T15:12:35Z,21 Guns,1AHZd3C3S8m8fFrhFxyk79,7oPftvlwr6VrsViSDV7fJY,[],321093,False,77,5,159.779,0.742,0.268,0.416,-4.939,0.0518,0.0,0.626,1,0.0355,4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
498,2zqxUV6h5y6Y9WhyH0FVvX,2020-10-20T15:01:33Z,ALTALENE (feat. Mara Sattei & Coez),6qAapBZqjiATXktzwBzzLC,0VitAFMCI2apQxKzDjg1PU,"['2KXYAKQTxHuUHDtVgeGn6w', '19i93sA0D7yS9dYoVNBqAA', '0zoMmzmyi8N8LwzhyXPvtk', '5dXlc7MnpaTeUIsHLVe3n4']",186853,False,0,6,139.693,0.692,0.647,0.342,-4.6,0.108,0.0,0.126,1,0.098,3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
568,503OTo2dSqe7qk76rgsbep,2020-05-11T10:34:26Z,Still D.R.E.,7q2B4M5EiBkqrlsNW8lB7N,6DPYiyq5kWVQS4RGwxzPC7,['7hJcb9fa4alzcOq3EaNPoG'],270586,True,85,11,93.431,0.775,0.816,0.527,-3.323,0.16,0.00031,0.0543,1,0.234,4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
579,6nDAs3PRe37fgqLfx51lBB,2020-04-01T17:08:15Z,Radioactive,6gblom0Rg1ZWvhMI1w2RUU,53XhwfbYqKCa1cC15pYq2q,['2YZyLoL8N0Wb9xBt1NhZWg'],275506,True,47,11,139.913,0.884,0.496,0.287,-3.915,0.0376,1.37e-06,0.44,0,0.209,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
642,07WZiii3438ia3OLnv4nqW,2019-08-12T12:59:42Z,Tu che ne sai (feat. Zoda),65JmkZAcCqtinkrpLri9TO,4r1DHaB2yIhddOkTF92d1d,['6udpKGzl85NuBEkZqOXiYB'],216000,True,42,5,160.007,0.63,0.504,0.313,-7.579,0.0748,0.0,0.35,1,0.0655,4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
644,5c5a2Ptu8eyIpljhQHjIqk,2019-07-05T23:08:38Z,Ain't No Rest For The Wicked - Original Version,0KcRX7YkMZ4mwOkEiCb9zw,26T3LtbuGT1Fu9m0eRq5X3,[],175493,False,0,0,156.014,0.914,0.635,0.922,-5.631,0.0597,0.0,0.601,1,0.111,4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
655,6b2oQwSGFkzsMtQruIWm2p,2019-06-30T20:59:42Z,Creep,6400dnyeDyD2mIFHfkwHXN,4Z8W4fKeB5YxbusRsdQVPb,[],238640,True,1,7,91.841,0.43,0.515,0.104,-9.935,0.0102,0.000141,0.129,1,0.0369,4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
